id,省,市,区,街道,社区,X,Y,cp,L1,L2,L3
576,甘肃省,天水市,秦州区,秦岭乡,龙集寨村民委员会,105.482413,34.448037,"105.482413,34.408037","105.482413,34.488037","105.452413,34.448037","105.512413,34.448037"
574,甘肃省,天水市,秦州区,天水郡街道办事处,莲亭社区居委会,105.698079,34.576852,"105.698079,34.536852","105.698079,34.616852","105.668079,34.576852","105.728079,34.576852"
575,甘肃省,天水市,秦州区,汪川镇,大吕村民委员会,105.581149,34.187362,"105.581149,34.147362","105.581149,34.227362","105.551149,34.187362","105.611149,34.187362"
579,甘肃省,天水市,张家川回族自治县,川王乡,大庄村民委员会,106.175014,35.0867,"106.175014,35.0467","106.175014,35.1267","106.145014,35.0867","106.205014,35.0867"
577,甘肃省,天水市,张家川回族自治县,龙山镇,西街社区居委会,106.093237,35.041466,"106.093237,35.001466","106.093237,35.081466","106.063237,35.041466","106.123237,35.041466"
580,甘肃省,天水市,张家川回族自治县,马鹿乡,龙口村民委员会,106.4608,34.946529,"106.4608,34.906529","106.4608,34.986529","106.4308,34.946529","106.4908,34.946529"
578,甘肃省,天水市,张家川回族自治县,张棉乡,张棉村民委员会,106.241559,35.147421,"106.241559,35.107421","106.241559,35.187421","106.211559,35.147421","106.271559,35.147421"
437,广东省,东莞市,东莞市市,东城街道,周屋居委会,113.835727,23.075359,"113.835727,23.035359","113.835727,23.115359","113.805727,23.075359","113.865727,23.075359"
440,广东省,东莞市,东莞市市,虎门镇,镇口社区居民委员会,113.665964,22.836852,"113.665964,22.796852","113.665964,22.876852","113.635964,22.836852","113.695964,22.836852"
439,广东省,东莞市,东莞市市,塘厦镇,林村社区居民委员会,114.092529,22.842746,"114.092529,22.802746","114.092529,22.882746","114.062529,22.842746","114.122529,22.842746"
438,广东省,东莞市,东莞市市,谢岗镇,谢岗村村民委员会,114.147948,22.978239,"114.147948,22.938239","114.147948,23.018239","114.117948,22.978239","114.177948,22.978239"
400,广东省,佛山市,南海区,大沥镇,横江社区居民委员会,112.919172,23.109994,"112.919172,23.069994","112.919172,23.149994","112.889172,23.109994","112.949172,23.109994"
